#epoch	dn	rthresh	max_below_thresh_ratio	tp	tn	fp	fn	num_correct	accuracy	total
26	5_yneuron_epoch_26.dn	0.05	0.45	275	1228	0	135	1488	0.908424908425	1638
26	5_yneuron_epoch_26.dn	0.05	0.5	282	1189	0	167	1456	0.888888888889	1638
26	5_yneuron_epoch_26.dn	0.05	0.6	287	1145	0	206	1417	0.865079365079	1638
26	5_yneuron_epoch_26.dn	0.05	0.7	292	988	0	358	1265	0.772283272283	1638
26	5_yneuron_epoch_26.dn	0.05	0.8	294	640	0	704	919	0.56105006105	1638
26	5_yneuron_epoch_26.dn	0.05	0.9	295	183	0	1160	463	0.282661782662	1638
26	5_yneuron_epoch_26.dn	0.1	0.05	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.1	0.1	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.1	0.15	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.1	0.2	16	1343	0	279	1359	0.82967032967	1638
26	5_yneuron_epoch_26.dn	0.1	0.25	82	1343	0	213	1424	0.869352869353	1638
26	5_yneuron_epoch_26.dn	0.1	0.3	174	1343	0	121	1509	0.921245421245	1638
26	5_yneuron_epoch_26.dn	0.1	0.35	230	1306	0	102	1523	0.929792429792	1638
26	5_yneuron_epoch_26.dn	0.1	0.4	257	1266	0	115	1509	0.921245421245	1638
26	5_yneuron_epoch_26.dn	0.1	0.45	271	1233	0	134	1489	0.909035409035	1638
26	5_yneuron_epoch_26.dn	0.1	0.5	280	1195	0	163	1460	0.891330891331	1638
26	5_yneuron_epoch_26.dn	0.1	0.6	286	1146	0	206	1417	0.865079365079	1638
26	5_yneuron_epoch_26.dn	0.1	0.7	292	997	0	349	1274	0.777777777778	1638
26	5_yneuron_epoch_26.dn	0.1	0.8	294	653	0	691	932	0.568986568987	1638
26	5_yneuron_epoch_26.dn	0.1	0.9	295	189	0	1154	469	0.286324786325	1638
26	5_yneuron_epoch_26.dn	0.15	0.05	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.15	0.1	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.15	0.15	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.15	0.2	14	1343	0	281	1357	0.828449328449	1638
26	5_yneuron_epoch_26.dn	0.15	0.25	75	1343	0	220	1417	0.865079365079	1638
26	5_yneuron_epoch_26.dn	0.15	0.3	166	1343	0	129	1503	0.917582417582	1638
26	5_yneuron_epoch_26.dn	0.15	0.35	228	1315	0	95	1530	0.934065934066	1638
26	5_yneuron_epoch_26.dn	0.15	0.4	254	1270	0	114	1510	0.921855921856	1638
26	5_yneuron_epoch_26.dn	0.15	0.45	269	1243	0	126	1498	0.91452991453	1638
26	5_yneuron_epoch_26.dn	0.15	0.5	280	1200	0	158	1465	0.894383394383	1638
26	5_yneuron_epoch_26.dn	0.15	0.6	286	1150	0	202	1421	0.867521367521	1638
26	5_yneuron_epoch_26.dn	0.15	0.7	292	1013	0	333	1290	0.787545787546	1638
26	5_yneuron_epoch_26.dn	0.15	0.8	294	665	0	679	944	0.576312576313	1638
26	5_yneuron_epoch_26.dn	0.15	0.9	295	196	0	1147	476	0.290598290598	1638
26	5_yneuron_epoch_26.dn	0.2	0.05	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.2	0.1	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.2	0.15	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.2	0.2	12	1343	0	283	1355	0.827228327228	1638
26	5_yneuron_epoch_26.dn	0.2	0.25	67	1343	0	228	1409	0.860195360195	1638
26	5_yneuron_epoch_26.dn	0.2	0.3	152	1343	0	143	1491	0.910256410256	1638
26	5_yneuron_epoch_26.dn	0.2	0.35	226	1323	0	89	1536	0.937728937729	1638
26	5_yneuron_epoch_26.dn	0.2	0.4	252	1273	0	113	1511	0.922466422466	1638
26	5_yneuron_epoch_26.dn	0.2	0.45	269	1247	0	122	1502	0.916971916972	1638
26	5_yneuron_epoch_26.dn	0.2	0.5	280	1208	0	150	1473	0.899267399267	1638
26	5_yneuron_epoch_26.dn	0.2	0.6	286	1153	0	199	1424	0.869352869353	1638
26	5_yneuron_epoch_26.dn	0.2	0.7	292	1023	0	323	1300	0.793650793651	1638
26	5_yneuron_epoch_26.dn	0.2	0.8	294	683	0	661	962	0.587301587302	1638
26	5_yneuron_epoch_26.dn	0.2	0.9	295	201	0	1142	481	0.293650793651	1638
26	5_yneuron_epoch_26.dn	0.25	0.05	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.25	0.1	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.25	0.15	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.25	0.2	7	1343	0	288	1350	0.824175824176	1638
26	5_yneuron_epoch_26.dn	0.25	0.25	63	1343	0	232	1405	0.857753357753	1638
26	5_yneuron_epoch_26.dn	0.25	0.3	144	1343	0	151	1483	0.905372405372	1638
26	5_yneuron_epoch_26.dn	0.25	0.35	223	1328	0	87	1538	0.93894993895	1638
26	5_yneuron_epoch_26.dn	0.25	0.4	248	1277	0	113	1511	0.922466422466	1638
26	5_yneuron_epoch_26.dn	0.25	0.45	269	1250	0	119	1505	0.918803418803	1638
26	5_yneuron_epoch_26.dn	0.25	0.5	279	1214	0	145	1478	0.90231990232	1638
26	5_yneuron_epoch_26.dn	0.25	0.6	286	1153	0	199	1424	0.869352869353	1638
26	5_yneuron_epoch_26.dn	0.25	0.7	292	1035	0	311	1312	0.800976800977	1638
26	5_yneuron_epoch_26.dn	0.25	0.8	294	700	0	644	979	0.59768009768	1638
26	5_yneuron_epoch_26.dn	0.25	0.9	295	213	0	1130	493	0.300976800977	1638
26	5_yneuron_epoch_26.dn	0.3	0.05	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.3	0.1	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.3	0.15	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.3	0.2	6	1343	0	289	1349	0.823565323565	1638
26	5_yneuron_epoch_26.dn	0.3	0.25	59	1343	0	236	1401	0.855311355311	1638
26	5_yneuron_epoch_26.dn	0.3	0.3	142	1343	0	153	1481	0.904151404151	1638
26	5_yneuron_epoch_26.dn	0.3	0.35	218	1331	0	89	1536	0.937728937729	1638
26	5_yneuron_epoch_26.dn	0.3	0.4	246	1281	0	111	1513	0.923687423687	1638
26	5_yneuron_epoch_26.dn	0.3	0.45	264	1251	0	123	1501	0.916361416361	1638
26	5_yneuron_epoch_26.dn	0.3	0.5	275	1220	0	143	1480	0.903540903541	1638
26	5_yneuron_epoch_26.dn	0.3	0.6	286	1157	0	195	1428	0.871794871795	1638
26	5_yneuron_epoch_26.dn	0.3	0.7	292	1045	0	301	1322	0.807081807082	1638
26	5_yneuron_epoch_26.dn	0.3	0.8	294	710	0	634	989	0.603785103785	1638
26	5_yneuron_epoch_26.dn	0.3	0.9	295	225	0	1118	505	0.308302808303	1638
26	5_yneuron_epoch_26.dn	0.35	0.05	0	1343	0	295	1343	0.819902319902	1638
26	5_yneuron_epoch_26.dn	0.35	0.1	0	1343	0	295	1343	0.819902319902	1638
